has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,URL,label
1,1,1,1,0,1,0,1,0,0,0,2,2,0,0,0,0,0,12,5,6,14,0,0,0,102,0,0,2,20,0,0,1,0,0,1,13,0,0,0,0,0,0,https://exact-guest-318453.framer.app/,1
0,1,1,1,0,1,1,0,1,0,0,4,1,0,0,0,0,0,4,0,8,0,0,0,0,42,0,0,1,12,0,0,1,0,0,1,7,0,0,0,0,3,0,https://mcsmemsreveviews.ubpages.com/mcsmemsreveviews/,1
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,13,1,0,0,102,0,1,1,4,0,0,0,0,0,0,14,0,0,0,0,1,0,https://securedriveauthsmscstors.uwu.ai/,1
1,1,1,1,0,1,1,1,1,0,0,3,1,0,0,3,0,0,7,4,5,13,1,1,0,678,0,10,1,19,0,1,1,0,0,0,4,0,0,0,0,4,0,http://yletpt.in/rett/ionos/pass.html?user1,1
1,1,1,1,0,1,1,1,1,0,0,6,9,0,0,75,0,0,5,23,15,83,1,1,1,8392,7,105,21,115,0,1,1,0,0,1,27,1,0,0,0,49,0,https://first.noblepathviews.com/payments,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,226,0,1,0,5,0,0,0,0,0,0,5,0,0,0,0,1,0,https://www.firsthorizoncapitals.com/home/customer-support,1
1,1,1,1,0,1,0,0,0,0,0,2,22,0,0,1446,0,0,15,7,8,78,1,1,1,51160,19,2251,8,2480,0,1,1,0,1,0,7,1,0,1,2,1396,0,http://allegrolokalnie.pl-oferta5228158.cfd/,1
1,1,1,1,0,1,0,0,0,0,0,2,22,0,0,1446,0,0,15,7,8,78,1,1,1,51160,19,2251,8,2480,0,1,1,0,1,0,7,1,0,1,2,1396,0,http://allegrolokalnie.pl-oferta5228158.cfd,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,226,0,1,0,5,0,0,0,0,0,0,5,0,0,0,0,1,0,https://firsthorizoncapitals.com/home,1
1,1,1,1,0,1,0,1,0,0,0,2,3,0,0,1,0,0,9,5,60,14,1,0,0,381,3,7,2,154,0,1,1,0,0,1,16,1,0,0,0,28,0,https://colinandthelma.wixsite.com/eebt,1
1,1,1,1,0,1,1,1,1,0,0,9,6,1,0,3,0,0,2,5,9,14,0,1,0,1341,0,3,5,78,0,0,1,0,1,1,4,0,0,0,0,9,0,https://gtlineas.z13.web.core.windows.net/contra.html,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,16,0,0,0,0,69,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,https://btsnncustomer.weeblysite.com/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://digitap.click/,1
1,1,1,1,0,1,0,0,0,0,0,2,22,0,0,1446,0,0,15,7,8,78,1,1,1,51160,19,2251,8,2480,0,1,1,0,1,0,7,1,0,1,2,1396,0,https://allegrolokalnie.pl-oferta5228158.cfd/,1
1,1,1,1,0,1,1,1,1,0,0,4,3,0,0,0,0,0,2,0,2,12,1,0,0,1306,2,8,2,36,0,0,1,0,1,0,4,0,0,0,0,5,0,https://webmail.165-154-231-121.cprapid.com/DXNEbwZqcG/oauth/signins?account_type=RESIDENTIAL&client_id=consumer_portal&code_challenge=2zpUJmtTjeqr9kNRaW4LemI2Q12l52RfgmUsMzQdjzZpJXJcrFpb4rw7W0TFTsEr59KdGyx1yaNzrYKG3KplXxsDfc3fpKBaActj,1
1,1,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,4,1,13,4,1,0,0,187,0,1,0,125,0,0,0,0,0,0,11,0,0,0,0,25,0,https://sites.google.com/view/attmailupdate01283/home,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,22,0,0,0,112,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vQ8rxoE_9NT6qpiQKXwMrlDdnRtdS5xDALvu5pXDzLOhHMNquAWyLs1z5Zq_ptypbY647eqIKRyQm4p/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,6,0,0,0,74,0,3,0,8,0,0,0,0,0,0,1,0,0,0,0,8,0,https://docs.google.com/document/d/e/2PACX-1vSUWYhgsHQ4z6jEllMTcXVvbi7CV0h_QyKI616hB4M3YdDnJ2lFFOyGDig-p_N5LpxNhOADMdUoVZ-V/pub,1
1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,13,0,0,0,258,0,0,1,5,0,0,0,0,0,0,2,0,0,0,0,1,0,https://working-file-enrollment-documentation.onrender.com/,1
1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,5,22,0,0,0,105,0,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,https://edk.kngmm.ru/@fKvAJ79yoefe/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://us19.campaign-archive.com/?u=cd1eaf2f6e8e4ab343a1c7340&id=0c7871de66,1
1,1,0,1,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,0,0,0,266,0,27,1,12,0,0,1,0,0,0,2,0,0,0,0,8,1,https://noreply-avisosb10.dynalias.com/?email=rand-taxa-ma@sendbr7.com&amp;k60suwmzt,1
1,1,0,1,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,0,0,0,266,0,27,1,12,0,0,1,0,0,0,2,0,0,0,0,8,1,https://noreply-avisosb10.dynalias.com/?email=rand-taxa-7ak@sendbr8.com&amp;toz1pfwgrb,1
1,1,1,1,0,1,1,1,1,0,0,4,3,0,0,0,0,0,2,0,2,12,1,0,0,1306,2,8,2,36,0,0,1,0,1,0,4,0,0,0,0,5,0,https://webmail.165-154-231-121.cprapid.com/DXNEbwZqcG/oauth/signins?account_type=RESIDENTIAL&client_id=consumer_portal&code_challenge=BRmRPhTMYKQ45SIsJOVWFDYeefSi5sHrmmi1UcxaL0qqbmMHekZ9z2d0KtSU1gG7A1ItxNL3Fu3yphWrUepjiyOQcfPP0UY0LkUC,1
1,1,1,1,0,1,0,1,0,0,1,1,12,0,0,31,2,8,30,11,8,50,1,1,1,5717,2,98,54,464,0,1,1,0,0,0,16,0,0,1,4,30,1,https://profile.att-signin.management.213-111-149-118.cpanel.site/xverify/signin?verify=pagesprocess_59580,1
1,1,1,1,0,1,1,1,1,0,0,4,3,0,0,0,0,0,2,0,2,12,1,0,0,1306,2,8,2,36,0,0,1,0,1,0,4,0,0,0,0,5,0,https://webmail.165-154-231-121.cprapid.com/DXNEbwZqcG/oauth/signins,1
